Name,Brand,Chipset,Price,RAM Slots,Max RAM,Max Clock,M.2 Slots,Wifi Support,M.2 Support
Asrock X570 Creator,ASROCK,X570,368.33,4,128,4666,1,TRUE,TRUE
Asrock X570 Extreme4,ASROCK,X570,176.80,4,128,4666,1,FALSE,TRUE
Asrock X570 Extreme4 WiFi ax,ASROCK,X570,184.17,4,128,4666,1,TRUE,TRUE
Asrock X570 Phantom Gaming 4,ASROCK,X570,114.18,4,128,4666,1,FALSE,TRUE
Asrock X570 Phantom Gaming 4 WiFi ax,ASROCK,X570,125.23,4,128,4066,1,TRUE,TRUE
Asrock X570 Phantom Gaming X,ASROCK,X570,257.83,4,128,4066,1,TRUE,TRUE
Asrock X570 Pro4,ASROCK,X570,125.23,4,128,4666,1,FALSE,TRUE
Asrock X570 Steel Legend,ASROCK,X570,147.33,4,128,4066,1,FALSE,TRUE
Asrock X570 Steel Legend WiFi ax,ASROCK,X570,154.70,4,128,4666,1,TRUE,TRUE
Asrock X570 Taichi,ASROCK,X570,221.00,4,128,4666,1,TRUE,TRUE
Asrock X570M Pro4,ASROCK,X570,137.02,4,128,4666,1,FALSE,TRUE
Asrock X570 Phantom Gaming-ITX / TB3,ASROCK,X570,221.00,2,64,4200,1,TRUE,TRUE
Asrock Fatal1ty X470 Gaming K4,ASROCK,X470,125.23,4,64,4533,0,FALSE,FALSE
Asrock X470 Master SLI,ASROCK,X470,110.50,4,64,3466,0,FALSE,FALSE
Asrock X470 Master SLI/ac,ASROCK,X470,117.87,4,64,3466,1,TRUE,TRUE
Asrock X470 Taichi,ASROCK,X470,169.43,4,64,3466,1,TRUE,TRUE
Asrock X470 Taichi Ultimate,ASROCK,X470,221.00,4,64,3466,1,TRUE,TRUE
Asrock Fatal1ty X470 Gaming-ITX/ac,ASROCK,X470,132.60,2,32,3466,1,TRUE,TRUE
Asrock Fatal1ty X370 Gaming K4,ASROCK,X370,117.87,4,64,3466,1,FALSE,TRUE
Asrock Fatal1ty X370 Professional Gaming,ASROCK,X370,191.53,4,64,3200,1,TRUE,TRUE
Asrock X370 Killer SLI,ASROCK,X370,103.13,4,64,3200,1,FALSE,TRUE
Asrock X370 Killer SLI/ac,ASROCK,X370,110.50,4,64,2933,1,TRUE,TRUE
Asrock X370 Taichi,ASROCK,X370,154.70,4,64,3200,1,TRUE,TRUE
Asrock B550 Extreme4,ASROCK,B550,136.28,4,128,3200,1,FALSE,TRUE
Asrock B550 PG Velocita,ASROCK,B550,162.07,4,128,4733,1,FALSE,TRUE
Asrock B550 Phantom Gaming 4,ASROCK,B550,84.72,4,128,4733,1,FALSE,TRUE
Asrock B550 Phantom Gaming 4/ac,ASROCK,B550,92.08,4,128,4533,1,TRUE,TRUE
Asrock B550 Pro4,ASROCK,B550,99.45,4,128,4533,1,FALSE,TRUE
Asrock B550 Steel Legend,ASROCK,B550,132.60,4,128,4533,1,FALSE,TRUE
Asrock B550 Taichi,ASROCK,B550,221.00,4,128,4733,1,TRUE,TRUE
Asrock B550M/ac,ASROCK,B550,84.72,4,128,4733,0,FALSE,FALSE
Asrock B550M Phantom Gaming 4,ASROCK,B550,66.30,4,128,4600,0,FALSE,FALSE
Asrock B550M Steel Legend,ASROCK,B550,114.18,4,128,4533,1,FALSE,TRUE
Asrock B550M-ITX/ac,ASROCK,B550,95.77,2,64,4533,1,TRUE,TRUE
Asrock B550 Phantom Gaming-ITX/ax,ASROCK,B550,162.07,2,64,4600,1,TRUE,TRUE
Asrock B450 Pro4,ASROCK,B450,66.30,4,64,5100,0,FALSE,FALSE
Asrock B450 Steel Legend,ASROCK,B450,81.03,4,64,3200,0,FALSE,FALSE
Asrock Fatal1ty B450 Gaming K4,ASROCK,B450,73.67,4,64,3533,0,FALSE,FALSE
Asrock B450M/ac,ASROCK,B450,62.62,4,64,3200,1,TRUE,TRUE
Asrock B450M-HDV,ASROCK,B450,51.57,2,32,3200,0,FALSE,FALSE
Asrock B450M-HDV R4.0,ASROCK,B450,47.88,2,32,3200,0,FALSE,FALSE
Asrock B450M Pro4,ASROCK,B450,58.93,4,64,3200,0,FALSE,FALSE
Asrock B450M Pro4-F,ASROCK,B450,53.04,4,64,3200,0,FALSE,FALSE
Asrock B450M Steel Legend,ASROCK,B450,66.30,4,64,3200,0,FALSE,FALSE
Asrock Fatal1ty B450 Gaming-ITX/ac,ASROCK,B450,95.77,2,32,3533,1,TRUE,TRUE
Asrock AB350 Pro4,ASROCK,B350,73.67,4,64,3466,0,FALSE,FALSE
Asrock Fatal1ty AB350 Gaming K4,ASROCK,B350,81.03,4,64,3200,0,FALSE,FALSE
Asrock AB350M Pro4,ASROCK,B350,66.30,4,64,3200,0,FALSE,FALSE
Asrock A520M/ac,ASROCK,A520,51.57,2,64,3200,1,TRUE,TRUE
Asrock A520M-HDV,ASROCK,A520,47.88,2,64,4600,0,FALSE,FALSE
Asrock A520M-HVS,ASROCK,A520,47.88,2,64,4600,0,FALSE,FALSE
Asrock A520M Pro4,ASROCK,A520,77.35,4,128,4600,1,FALSE,TRUE
Asrock A520M-ITX/ac,ASROCK,A520,77.35,2,64,4533,1,TRUE,TRUE
Asus Prime X570-P,ASUS,X570,117.87,4,128,2933,0,FALSE,FALSE
Asus Prime X570-Pro,ASUS,X570,184.17,4,128,4400,0,FALSE,FALSE
Asus Pro WS X570-Ace,ASUS,X570,279.93,4,128,4400,0,FALSE,FALSE
Asus ROG Crosshair VIII Formula,ASUS,X570,515.67,4,128,4800,1,TRUE,TRUE
Asus ROG Crosshair VIII Hero,ASUS,X570,265.20,4,128,4600,0,FALSE,FALSE
Asus ROG Crosshair VIII Hero (Wi-Fi),ASUS,X570,279.93,4,128,4600,1,TRUE,TRUE
Asus ROG Strix X570-E Gaming,ASUS,X570,243.10,4,128,4600,1,TRUE,TRUE
Asus ROG Strix X570-F Gaming,ASUS,X570,235.73,4,128,4400,0,FALSE,FALSE
Asus TUF Gaming X570-Plus,ASUS,X570,139.97,4,128,4400,0,FALSE,FALSE
Asus TUF Gaming X570-Plus (Wi-Fi),ASUS,X570,147.33,4,128,4400,1,TRUE,TRUE
Asus TUF Gaming X570-Pro (Wi-Fi),ASUS,X570,162.07,4,128,4400,1,TRUE,TRUE
Asus ROG Crosshair VIII Impact,ASUS,X570,316.77,2,64,5100,1,TRUE,TRUE
Asus ROG Crosshair VII Hero,ASUS,X470,206.27,4,64,3600,0,FALSE,FALSE
Asus ROG Crosshair VII Hero (WiFi),ASUS,X470,221.00,4,64,3600,1,TRUE,TRUE
Asus ROG Strix X470-F Gaming,ASUS,X470,158.38,4,64,3600,0,FALSE,FALSE
Asus TUF X470-Plus Gaming,ASUS,X470,117.87,4,64,3600,0,FALSE,FALSE
Asus ROG Strix X470-I Gaming,ASUS,X470,154.70,2,32,3466,1,TRUE,TRUE
Asus ROG Crosshair VI Hero (Wi-Fi AC),ASUS,X370,176.80,4,64,3200,1,TRUE,TRUE
Asus Prime B550-Plus,ASUS,B550,110.50,4,128,3600,0,FALSE,FALSE
Asus ROG Strix B550-A Gaming,ASUS,B550,132.60,4,128,4600,0,FALSE,FALSE
Asus ROG Strix B550-E Gaming,ASUS,B550,206.27,4,128,4600,1,TRUE,TRUE
Asus ROG Strix B550-F Gaming,ASUS,B550,139.97,4,128,4600,0,FALSE,FALSE
Asus ROG Strix B550-F Gaming (Wi-Fi),ASUS,B550,154.70,4,128,4600,1,TRUE,TRUE
Asus TUF Gaming B550-Plus,ASUS,B550,125.23,4,128,4866,1,FALSE,TRUE
Asus TUF Gaming B550-Plus (Wi-Fi),ASUS,B550,136.28,4,128,4600,1,TRUE,TRUE
Asus Prime B550M-A (Wi-Fi),ASUS,B550,110.50,4,128,4600,1,TRUE,TRUE
Asus Prime B550M-A AC,ASUS,B550,103.13,4,128,4600,1,TRUE,TRUE
Asus Prime B550M-K,ASUS,B550,81.03,4,128,4600,0,FALSE,FALSE
Asus TUF Gaming B550M-Plus,ASUS,B550,117.87,4,128,4600,0,FALSE,FALSE
Asus TUF Gaming B550M-Plus (Wi-Fi),ASUS,B550,132.60,4,128,4600,1,TRUE,TRUE
Asus ROG Strix B550-I Gaming,ASUS,B550,169.43,2,64,4600,1,TRUE,TRUE
Asus Prime B450-Plus,ASUS,B450,81.03,4,64,5100,0,FALSE,FALSE
Asus ROG Strix B450-F Gaming,ASUS,B450,95.77,4,64,3533,0,FALSE,FALSE
Asus TUF B450-Plus Gaming,ASUS,B450,88.40,4,64,4400,0,FALSE,FALSE
Asus Prime B450M-K,ASUS,B450,51.57,2,32,4400,0,FALSE,FALSE
Asus TUF B450M-Plus Gaming,ASUS,B450,73.67,4,64,4400,0,FALSE,FALSE
Asus TUF B450M-Pro Gaming,ASUS,B450,73.67,4,64,3466,0,FALSE,FALSE
Asus TUF Gaming B450M-Pro S,ASUS,B450,95.77,4,128,4400,0,FALSE,FALSE
Asus Prime A520M-A,ASUS,A520,58.93,4,128,3600,0,FALSE,FALSE
Biostar Racing X570GT8 Ver.5.x,BIOSTAR,X570,169.43,4,128,3600,0,FALSE,FALSE
Biostar Racing X570GTA Ver.5.x,BIOSTAR,X570,117.87,4,128,4400,0,FALSE,FALSE
Biostar Racing X570GT Ver.6.x,BIOSTAR,X570,117.87,4,128,4000,0,FALSE,FALSE
Biostar Racing X470GT8 Ver.5.x,BIOSTAR,X470,114.18,4,64,4000,0,FALSE,FALSE
Biostar Racing X470GTA Ver.5.x,BIOSTAR,X470,88.40,4,64,3200,0,FALSE,FALSE
Biostar Racing X470GTQ Ver.5.x,BIOSTAR,X470,77.35,4,64,3200,0,FALSE,FALSE
Biostar Racing X470GTN Ver.5.x,BIOSTAR,X470,92.08,2,32,3200,0,FALSE,FALSE
Biostar Racing B550GTA Ver.5.0,BIOSTAR,B550,114.18,4,128,3200,0,FALSE,FALSE
Biostar B550MH Ver.6.0,BIOSTAR,B550,71.46,2,64,4400,0,FALSE,FALSE
Biostar A520MH Ver.6.0,BIOSTAR,A520,58.93,2,64,3200,0,FALSE,FALSE
Colorful CVN X570 Gaming Pro V14,COLORFUL,X570,206.27,4,128,2667,0,FALSE,FALSE
Colorful CVN B550M Gaming Frozen V14,COLORFUL,B550,92.08,4,128,3200,0,FALSE,FALSE
Colorful CVN B550M Gaming Pro V14,COLORFUL,B550,88.40,4,128,4000,0,FALSE,FALSE
"Gigabyte X570 Aorus Xtreme
(Rev.1.0)",GIGABYTE,X570,515.67,4,128,2667,1,TRUE,TRUE
"Gigabyte X570 Aorus Xtreme
(Rev.1.1)",GIGABYTE,X570,515.67,4,128,4400,1,TRUE,TRUE
Gigabyte X570 Aorus Elite,GIGABYTE,X570,147.33,4,128,4400,0,FALSE,FALSE
Gigabyte X570 Aorus Elite WiFi,GIGABYTE,X570,154.70,4,128,4000,1,TRUE,TRUE
"Gigabyte X570 Aorus Master
(Rev.1.0)",GIGABYTE,X570,265.20,4,128,4000,1,TRUE,TRUE
"Gigabyte X570 Aorus Master
(Rev.1.1/1.2)",GIGABYTE,X570,265.20,4,128,4400,1,TRUE,TRUE
"Gigabyte X570 Aorus Pro
(Rev.1.0)",GIGABYTE,X570,198.90,4,128,4400,0,FALSE,FALSE
"Gigabyte X570 Aorus Pro
(Rev.1.1/1.2)",GIGABYTE,X570,198.90,4,128,4400,0,FALSE,FALSE
"Gigabyte X570 Aorus Pro WiFi
(Rev.1.0)",GIGABYTE,X570,206.27,4,128,4400,1,TRUE,TRUE
"Gigabyte X570 Aorus Pro WiFi
(Rev.1.1/1.2)",GIGABYTE,X570,206.27,4,128,4400,1,TRUE,TRUE
"Gigabyte X570 Aorus Ultra
(Rev.1.0)",GIGABYTE,X570,221.00,4,128,4400,1,TRUE,TRUE
"Gigabyte X570 Aorus Ultra
(Rev.1.1/1.2)",GIGABYTE,X570,221.00,4,128,4400,1,TRUE,TRUE
"Gigabyte X570 Gaming X
(Rev.1.0)",GIGABYTE,X570,125.23,4,128,4400,0,FALSE,FALSE
"Gigabyte X570 Gaming X
(Rev.1.1)",GIGABYTE,X570,125.23,4,128,4000,0,FALSE,FALSE
"Gigabyte X570 UD
(Rev.1.0)",GIGABYTE,X570,117.87,4,128,4000,0,FALSE,FALSE
"Gigabyte X570 UD
(Rev.1.1)",GIGABYTE,X570,117.87,4,128,3200,0,FALSE,FALSE
Gigabyte X570I Aorus Pro WiFi,GIGABYTE,X570,162.07,2,64,3200,1,TRUE,TRUE
Gigabyte X470 Aorus Gaming 5 WiFi,GIGABYTE,X470,132.60,4,64,4400,1,TRUE,TRUE
"Gigabyte X470 Aorus Gaming 7 WiFi
(Rev.1.0)",GIGABYTE,X470,176.80,4,64,3200,1,TRUE,TRUE
"Gigabyte X470 Aorus Gaming 7 WiFi
(Rev.1.1)",GIGABYTE,X470,176.80,4,64,3600,1,TRUE,TRUE
Gigabyte X470 Aorus Ultra Gaming,GIGABYTE,X470,103.13,4,64,3600,0,FALSE,FALSE
Gigabyte Aorus AX370 Gaming 5,GIGABYTE,X370,143.65,4,64,3200,0,FALSE,FALSE
Gigabyte Aorus AX370 Gaming K5,GIGABYTE,X370,139.97,4,64,3200,0,FALSE,FALSE
Gigabyte Aorus AX370 Gaming K7,GIGABYTE,X370,154.70,4,64,3200,0,FALSE,FALSE
Gigabyte AX370 Gaming,GIGABYTE,X370,73.67,4,64,3600,0,FALSE,FALSE
Gigabyte AX370 Gaming 3,GIGABYTE,X370,81.03,4,64,3200,0,FALSE,FALSE
Gigabyte AX370 Gaming K3,GIGABYTE,X370,99.45,4,64,3200,0,FALSE,FALSE
Gigabyte B550 Aorus Elite,GIGABYTE,B550,117.87,4,128,3200,0,FALSE,FALSE
Gigabyte B550 Aorus Pro,GIGABYTE,B550,132.60,4,128,5200,0,FALSE,FALSE
Gigabyte B550 Vision D (Rev.1002),GIGABYTE,B550,191.53,4,128,5200,1,TRUE,TRUE
Gigabyte B550M Aorus Elite,GIGABYTE,B550,81.03,4,128,5200,0,FALSE,FALSE
Gigabyte B550M Aorus Pro,GIGABYTE,B550,95.77,4,128,4000,0,FALSE,FALSE
Gigabyte B550M DS3H,GIGABYTE,B550,69.98,4,128,4000,0,FALSE,FALSE
Gigabyte B550M DS3H AC,GIGABYTE,B550,77.35,4,128,4000,1,TRUE,TRUE
Gigabyte B550M Gaming,GIGABYTE,B550,73.67,2,64,4000,0,FALSE,FALSE
Gigabyte B550I Aorus Pro AX,GIGABYTE,B550,132.60,2,64,5000,1,TRUE,TRUE
Gigabyte B450 Aorus Pro WiFi,GIGABYTE,B450,88.40,4,64,3200,1,TRUE,TRUE
Gigabyte B450 Aorus M,GIGABYTE,B450,62.62,4,64,2933,0,FALSE,FALSE
Gigabyte B450M DS3H,GIGABYTE,B450,51.57,4,64,3200,0,FALSE,FALSE
Gigabyte A520 Aorus Elite,GIGABYTE,A520,69.98,4,128,3200,0,FALSE,FALSE
Msi MEG X570 Godlike,MSI,X570,515.67,4,128,3200,1,TRUE,TRUE
Msi Prestige X570 Creation,MSI,X570,368.33,4,128,4600,1,TRUE,TRUE
Msi MAG X570 Tomahawk WiFi,MSI,X570,162.07,4,128,4533,1,TRUE,TRUE
Msi MEG X570 Ace,MSI,X570,272.57,4,128,4600,1,TRUE,TRUE
Msi MEG X570 Unify,MSI,X570,221.00,4,128,4533,1,TRUE,TRUE
Msi MPG X570 Gaming Edge WiFi,MSI,X570,154.70,4,128,4600,1,TRUE,TRUE
Msi MPG X570 Gaming Plus,MSI,X570,125.23,4,128,4400,0,FALSE,FALSE
Msi MPG X570 Gaming Pro Carbon WiFi,MSI,X570,191.53,4,128,4400,1,TRUE,TRUE
Msi X570-A Pro,MSI,X570,117.87,4,128,4400,0,FALSE,FALSE
Msi X470 Gaming M7 AC,MSI,X470,191.53,4,64,4400,1,TRUE,TRUE
Msi X470 Gaming Plus,MSI,X470,103.13,4,64,3600,0,FALSE,FALSE
Msi X470 Gaming Pro MAX,MSI,X470,110.50,4,64,3466,0,FALSE,FALSE
Msi X470 Gaming Pro Carbon,MSI,X470,125.23,4,64,3466,1,FALSE,TRUE
Msi X470 Gaming Pro Carbon AC,MSI,X470,139.97,4,64,3466,1,TRUE,TRUE
Msi X370 Gaming M7 ACK,MSI,X370,176.80,4,64,3466,0,TRUE,FALSE
Msi B550-A Pro,MSI,B550,103.13,4,128,3200,0,FALSE,FALSE
Msi MAG B550 Tomahawk,MSI,B550,132.60,4,128,4400,0,FALSE,FALSE
Msi MPG B550 Gaming Edge WiFi,MSI,B550,139.97,4,128,5100,1,TRUE,TRUE
Msi MPG B550 Gaming Plus,MSI,B550,110.50,4,128,5100,0,FALSE,FALSE
Msi B550M Pro-VDH WiFi,MSI,B550,92.08,4,128,4400,1,TRUE,TRUE
Msi MAG B550M Bazooka,MSI,B550,95.77,4,128,4400,0,FALSE,FALSE
Msi MAG B550M Mortar,MSI,B550,117.87,4,128,4400,0,FALSE,FALSE
Msi MAG B550M Mortar WiFi,MSI,B550,125.23,4,128,4400,1,TRUE,TRUE
Msi MPG B550I Gaming Edge WiFi,MSI,B550,147.33,2,64,4600,1,TRUE,TRUE
Msi B450-A Pro,MSI,B450,73.67,4,64,4600,0,FALSE,FALSE
Msi B450-A Pro MAX,MSI,B450,73.67,4,64,3466,0,FALSE,FALSE
Msi B450 Gaming Plus,MSI,B450,81.03,4,64,3466,0,FALSE,FALSE
Msi B450 Gaming Plus MAX,MSI,B450,81.03,4,64,3466,0,FALSE,FALSE
Msi B450 Gaming Pro Carbon AC,MSI,B450,110.50,4,64,4133,1,TRUE,TRUE
Msi B450 Gaming Pro Carbon MAX WiFi,MSI,B450,117.87,4,128,3466,1,TRUE,TRUE
Msi B450 Tomahawk,MSI,B450,84.72,4,64,3466,0,FALSE,FALSE
Msi B450 Tomahawk MAX,MSI,B450,84.72,4,64,3466,0,FALSE,FALSE
Msi B350 Tomahawk,MSI,B350,81.03,4,64,3200,0,FALSE,FALSE