Name,Speed,RAM Sticks,Modules,Total RAM,Price
ADATA XPG SPECTRIX D60G 16 GB,3200,2,8,16,65.99
Corsair Dominator Platinum RGB 32 GB,3600,4,8,32,211.13
Corsair Vengeance LPX 16 GB,2666,2,8,16,64.69
Corsair Vengeance LPX 16 GB,3000,2,8,16,61.49
Corsair Vengeance LPX 16 GB,3200,2,8,16,59.99
Corsair Vengeance LPX 16 GB,3200,2,8,16,59.99
Corsair Vengeance LPX 16 GB,3200,2,8,16,61.98
Corsair Vengeance LPX 16 GB,3600,2,8,16,59.99
Corsair Vengeance LPX 32 GB,3200,2,16,32,109.99
Corsair Vengeance LPX 32 GB,3600,2,16,32,121.99
Corsair Vengeance LPX 64 GB,3200,2,32,64,234.98
Corsair Vengeance LPX 8 GB,2400,1,8,8,29.99
Corsair Vengeance RGB Pro 16 GB,3200,2,8,16,66.98
Corsair Vengeance RGB Pro 16 GB,3200,2,8,16,69.86
Corsair Vengeance RGB Pro 16 GB,3600,2,8,16,69.98
Corsair Vengeance RGB Pro 16 GB,3600,2,8,16,93.46
Corsair Vengeance RGB Pro 32 GB,3200,2,16,32,124.99
Corsair Vengeance RGB Pro 32 GB,3600,2,16,32,134.99
Corsair Vengeance RGB Pro 32 GB,3200,4,8,32,149.53
Corsair Vengeance RGB Pro 32 GB,3200,4,8,32,158.97
Corsair Vengeance RGB Pro 32 GB,3600,4,8,32,175.49
Corsair Vengeance RGB Pro 32 GB,3600,4,8,32,183.98
Corsair Vengeance RGB Pro 64 GB,3600,2,16,32,283.20
Corsair Vengeance RGB Pro SL 32 GB,3600,2,16,32,136.97
Corsair Vengeance RGB RT 32 GB,3600,2,16,32,159.82
Crucial Ballistix 16 GB,3200,2,8,16,53.90
Crucial Ballistix 16 GB,3200,2,8,16,69.90
Crucial Ballistix 16 GB,3200,2,8,16,58.80
Crucial Ballistix 16 GB,3600,2,8,16,72.31
Crucial Ballistix 16 GB,3600,2,8,16,89.99
Crucial Ballistix 32 GB,3200,2,16,32,108.65
Crucial Ballistix 32 GB,3200,2,16,32,122.84
Crucial Ballistix RGB 16 GB,3200,2,8,16,64.99
Crucial Ballistix RGB 16 GB,3600,2,8,16,88.69
Crucial Ballistix RGB 16 GB,3600,2,8,16,91.98
G.Skill Aegis 16 GB,3200,2,8,16,61.00
G.Skill Aegis 32 GB,2666,2,16,32,107.79
G.Skill Aegis 4 GB,2133,1,4,4,28.55
G.Skill Aegis 8 GB,3000,1,8,8,36.57
G.Skill Aegis 8 GB,2400,2,4,8,50.20
G.Skill Ripjaws V 16 GB,3600,2,8,16,92.29
G.Skill Ripjaws V 16 GB,3600,2,8,16,65.54
G.Skill Ripjaws V 32 GB,3600,2,16,32,169.83
G.Skill Ripjaws V 32 GB,3600,2,16,32,133.83
G.Skill Ripjaws V 32 GB,4000,2,16,32,155.43
G.Skill Ripjaws V 64 GB,3600,2,32,64,259.20
G.Skill Ripjaws V Series 16 GB,3200,2,8,16,64.99
G.Skill Ripjaws V Series 32 GB,3200,2,16,32,138.63
G.Skill Trident Z Neo 16 GB,3600,2,8,16,128.19
G.Skill Trident Z Neo 32 GB,3600,2,16,32,195.40
G.Skill Trident Z Neo 32 GB,4000,2,16,32,177.39
G.Skill Trident Z Neo 64 GB,3600,4,16,64,366.00
G.Skill Trident Z RGB 128 GB,4000,4,32,128,939.00
G.Skill Trident Z RGB 16 GB,3200,2,8,16,89.39
G.Skill Trident Z RGB 16 GB,3600,2,8,16,105.39
G.Skill Trident Z RGB 32 GB,3200,2,16,32,148.19
G.Skill Trident Z RGB 32 GB,3600,2,16,32,194.19
G.Skill Trident Z RGB 32 GB,3600,2,16,32,136.72
G.Skill Trident Z RGB 32 GB,3600,4,8,32,194.19
G.Skill Trident Z RGB 64 GB,3600,2,32,64,291.60
G.Skill Trident Z Royal 32 GB,3600,2,16,32,178.24
Kingston FURY Beast 32 GB,3600,2,16,32,122.49
Kingston HyperX Fury 16 GB,3200,2,8,16,83.69
Patriot Viper Steel 16 GB,4400,2,8,16,95.47
Silicon Power GAMING 32 GB,3200,2,16,32,127.14
Silicon Power SP016GXLZU320BDAJ5 16 GB,3200,2,8,16,76.64
Silicon Power XPOWER Turbine 16 GB,3200,2,8,16,77.79
Team T-Create Classic 16 GB,3200,2,8,16,94.07
Team T-FORCE DARK Za 16 GB,3600,2,8,16,104.55
Team T-Force Delta RGB 16 GB,3200,2,8,16,79.99
Team T-Force Delta RGB 16 GB,3600,2,8,16,84.99
Team T-Force Delta RGB 16 GB,3600,2,8,16,69.74
Team T-Force Delta RGB 32 GB,3600,2,16,32,159.26
Team T-FORCE VULCAN Z 16 GB,3200,2,8,16,56.90
Team T-FORCE VULCAN Z 16 GB,3200,2,8,16,91.12
Team T-Force Zeus 16 GB,3200,2,8,16,65.34